Date,Close,Open,High,Low,Change %,Log_Returns
27-08-2010,1.7272,1.7225,1.7289,1.719,0.18%,-0.005806543
30-08-2010,1.7172,1.7242,1.7263,1.7143,-0.58%,0.001512948
31-08-2010,1.7198,1.7157,1.7263,1.712,0.15%,0.003308859
01-09-2010,1.7255,1.7182,1.7338,1.7143,0.33%,0.000347665
02-09-2010,1.7261,1.7233,1.7297,1.7169,0.03%,0.003643202
03-09-2010,1.7324,1.7249,1.7336,1.7203,0.36%,-0.000173185
06-09-2010,1.7321,1.731,1.7357,1.7273,-0.02%,-0.011613858
07-09-2010,1.7121,1.731,1.7321,1.7099,-1.15%,-0.000934962
08-09-2010,1.7105,1.7101,1.7158,1.7029,-0.09%,-0.003337924
09-09-2010,1.7048,1.7105,1.7147,1.7006,-0.33%,-0.00329025
10-09-2010,1.6992,1.7048,1.7093,1.6959,-0.33%,0.012806069
13-09-2010,1.7211,1.6999,1.7243,1.6999,1.29%,0.006832684
14-09-2010,1.7329,1.7201,1.7361,1.716,0.69%,0.004031335
15-09-2010,1.7399,1.732,1.7447,1.7309,0.40%,0.004530214
16-09-2010,1.7478,1.7411,1.7532,1.7347,0.45%,-0.002577985
17-09-2010,1.7433,1.7488,1.7559,1.7393,-0.26%,-0.000401618
20-09-2010,1.7426,1.7431,1.75,1.737,-0.04%,0.010219609
21-09-2010,1.7605,1.7416,1.7649,1.7402,1.03%,0.009047277
22-09-2010,1.7765,1.7617,1.7813,1.7604,0.91%,-0.004174194
23-09-2010,1.7691,1.7751,1.7794,1.7657,-0.42%,0.008050712
24-09-2010,1.7834,1.769,1.7858,1.7657,0.81%,-0.00393281
27-09-2010,1.7764,1.7817,1.7851,1.7729,-0.39%,0.007570908
28-09-2010,1.7899,1.775,1.7927,1.7698,0.76%,0.003569241
29-09-2010,1.7963,1.7896,1.7973,1.7866,0.36%,-0.0021177
30-09-2010,1.7925,1.795,1.798,1.7848,-0.21%,0.010212666
01-10-2010,1.8109,1.7915,1.8119,1.7907,1.03%,-0.006982185
04-10-2010,1.7983,1.8087,1.8099,1.7955,-0.70%,0.007203045
05-10-2010,1.8113,1.7977,1.8159,1.7936,0.72%,0.006603227
06-10-2010,1.8233,1.8111,1.8243,1.8081,0.66%,-0.001591789
07-10-2010,1.8204,1.8219,1.8311,1.8118,-0.16%,0.000988305
08-10-2010,1.8222,1.8188,1.829,1.8111,0.10%,-0.004675605
11-10-2010,1.8137,1.8274,1.83,1.8101,-0.47%,0.002423042
12-10-2010,1.8181,1.8132,1.8189,1.8033,0.24%,0.000659812
13-10-2010,1.8193,1.8154,1.8273,1.8108,0.07%,0.002141387
14-10-2010,1.8232,1.8176,1.8267,1.8033,0.21%,-0.006548379
15-10-2010,1.8113,1.8224,1.8329,1.806,-0.65%,-0.001049521
18-10-2010,1.8094,1.8124,1.8189,1.8059,-0.10%,-0.002711754
19-10-2010,1.8045,1.8118,1.819,1.8001,-0.27%,0.008223231
20-10-2010,1.8194,1.8029,1.822,1.8002,0.83%,-0.004075569
21-10-2010,1.812,1.8183,1.8235,1.8081,-0.41%,-0.001380644
22-10-2010,1.8095,1.8115,1.818,1.8039,-0.14%,-0.002046857
25-10-2010,1.8058,1.8075,1.8199,1.8021,-0.20%,-0.004440012
26-10-2010,1.7978,1.8062,1.8107,1.794,-0.44%,-0.0016701
27-10-2010,1.7948,1.796,1.8035,1.7919,-0.17%,0.00622086
28-10-2010,1.806,1.7934,1.8079,1.7924,0.62%,-0.00083091
29-10-2010,1.8045,1.8044,1.8081,1.7932,-0.08%,-0.005780042
01-11-2010,1.7941,1.8067,1.8091,1.7908,-0.58%,0.007662447
02-11-2010,1.8079,1.7938,1.8106,1.7923,0.77%,0.00568105
03-11-2010,1.8182,1.8076,1.8245,1.8021,0.57%,0.00192313
04-11-2010,1.8217,1.8159,1.832,1.8121,0.19%,-0.009819143
05-11-2010,1.8039,1.8234,1.8277,1.8019,-0.98%,-0.006060793
08-11-2010,1.793,1.8058,1.809,1.7874,-0.60%,-0.008344816
09-11-2010,1.7781,1.7924,1.7943,1.7735,-0.83%,-0.001350667
10-11-2010,1.7757,1.7763,1.78,1.7644,-0.13%,-0.008653655
11-11-2010,1.7604,1.775,1.7772,1.7585,-0.86%,0.008991493
12-11-2010,1.7763,1.7614,1.7807,1.7552,0.90%,-0.003327039
15-11-2010,1.7704,1.7793,1.7888,1.7658,-0.33%,-0.005380468
16-11-2010,1.7609,1.7695,1.7735,1.7556,-0.54%,-0.000795364
17-11-2010,1.7595,1.7598,1.7666,1.7557,-0.08%,0.005271673
18-11-2010,1.7688,1.761,1.7699,1.759,0.53%,0.002428077
19-11-2010,1.7731,1.7681,1.7801,1.7653,0.24%,-0.003050161
22-11-2010,1.7677,1.7766,1.7845,1.7624,-0.30%,-0.005730024
23-11-2010,1.7576,1.766,1.7823,1.755,-0.57%,-0.006106454
24-11-2010,1.7469,1.7563,1.7601,1.7426,-0.61%,-0.00040079
25-11-2010,1.7462,1.7457,1.7502,1.7389,-0.04%,0.000744197
26-11-2010,1.7475,1.744,1.7527,1.7424,0.07%,-0.009140359
29-11-2010,1.7316,1.7498,1.7516,1.726,-0.91%,-0.010624501
30-11-2010,1.7133,1.7309,1.7334,1.7119,-1.06%,0.004367964
01-12-2010,1.7208,1.7139,1.726,1.711,0.44%,0.004348967
02-12-2010,1.7283,1.7191,1.7311,1.7128,0.44%,0.011963104
03-12-2010,1.7491,1.7275,1.7498,1.7247,1.20%,-0.007460152
06-12-2010,1.7361,1.7423,1.7484,1.7295,-0.74%,0.001554002
07-12-2010,1.7388,1.7355,1.7454,1.7332,0.16%,0.002469917
08-12-2010,1.7431,1.7369,1.7465,1.7338,0.25%,-0.004369581
09-12-2010,1.7355,1.7424,1.7464,1.7283,-0.44%,-0.003289761
10-12-2010,1.7298,1.7344,1.7386,1.7254,-0.33%,0.008748761
13-12-2010,1.745,1.7273,1.7518,1.7221,0.88%,-0.001204163
14-12-2010,1.7429,1.7442,1.755,1.7387,-0.12%,-0.000631331
15-12-2010,1.7418,1.7423,1.7529,1.7372,-0.06%,-0.001148897
16-12-2010,1.7398,1.7403,1.7443,1.7354,-0.11%,-0.004435619
17-12-2010,1.7321,1.7391,1.7508,1.7284,-0.44%,-0.002427747
20-12-2010,1.7279,1.7317,1.7403,1.7234,-0.24%,-0.004756941
21-12-2010,1.7197,1.7279,1.7374,1.7158,-0.47%,-0.004662828
22-12-2010,1.7117,1.7177,1.725,1.7079,-0.47%,0.00064243
23-12-2010,1.7128,1.7114,1.717,1.705,0.06%,-0.004623
24-12-2010,1.7049,1.7118,1.7146,1.7008,-0.46%,0.003162336
27-12-2010,1.7103,1.7035,1.7129,1.7005,0.32%,-0.003162336
28-12-2010,1.7049,1.7099,1.7216,1.698,-0.32%,0.00304539
29-12-2010,1.7101,1.7046,1.7139,1.6982,0.31%,0.001052016
30-12-2010,1.7119,1.708,1.7163,1.7067,0.11%,0.002625209
31-12-2010,1.7164,1.7118,1.7229,1.7078,0.26%,-0.000233073
03-01-2011,1.716,1.7115,1.7198,1.7036,-0.02%,-0.002100106
04-01-2011,1.7124,1.7157,1.7258,1.7108,-0.21%,-0.007561805
05-01-2011,1.6995,1.7114,1.7153,1.6965,-0.75%,-0.008331166
06-01-2011,1.6854,1.6983,1.7016,1.6821,-0.83%,-0.008102034
07-01-2011,1.6718,1.6831,1.6885,1.6707,-0.81%,0.005190478
10-01-2011,1.6805,1.6681,1.6848,1.6668,0.52%,-0.001429167
11-01-2011,1.6781,1.6799,1.6858,1.6724,-0.14%,0.007362142
12-01-2011,1.6905,1.677,1.6939,1.6727,0.74%,0.015670714
13-01-2011,1.7172,1.69,1.7188,1.6862,1.58%,0.002965549
14-01-2011,1.7223,1.717,1.7324,1.7135,0.30%,-0.006641059
17-01-2011,1.7109,1.7225,1.724,1.7081,-0.66%,0.003850197
18-01-2011,1.7175,1.7112,1.7253,1.7076,0.39%,0.00632638
19-01-2011,1.7284,1.7164,1.7327,1.7152,0.63%,0.004214665
20-01-2011,1.7357,1.7283,1.7383,1.7243,0.42%,0.007118694
21-01-2011,1.7481,1.7339,1.7492,1.7317,0.71%,-0.000514977
24-01-2011,1.7472,1.7498,1.7532,1.7371,-0.05%,0.002743486
25-01-2011,1.752,1.7464,1.7536,1.7401,0.27%,0.000570613
26-01-2011,1.753,1.7505,1.7555,1.7461,0.06%,0.001311177
27-01-2011,1.7553,1.753,1.7598,1.7457,0.13%,-0.00336691
28-01-2011,1.7494,1.7554,1.7604,1.7443,-0.34%,0.001142596
31-01-2011,1.7514,1.7469,1.7591,1.7443,0.11%,0.003476877
01-02-2011,1.7575,1.7504,1.7589,1.7497,0.35%,-0.000683021
02-02-2011,1.7563,1.757,1.7649,1.7507,-0.07%,-0.010762025
03-02-2011,1.7375,1.7568,1.7598,1.734,-1.07%,-0.002881846
04-02-2011,1.7325,1.7371,1.7429,1.7248,-0.29%,-0.001501849
07-02-2011,1.7299,1.7283,1.7376,1.7233,-0.15%,0.003404799
08-02-2011,1.7358,1.7294,1.7415,1.7274,0.34%,0.007747306
09-02-2011,1.7493,1.7346,1.7503,1.732,0.78%,-0.006078
10-02-2011,1.7387,1.7485,1.7519,1.7355,-0.61%,-0.001093368
11-02-2011,1.7368,1.7376,1.7411,1.7322,-0.11%,-0.004906073
14-02-2011,1.7283,1.7321,1.7369,1.721,-0.49%,0.000115714
15-02-2011,1.7285,1.7271,1.7346,1.7245,0.01%,0.003522859
16-02-2011,1.7346,1.7281,1.7386,1.7226,0.35%,0.001094754
17-02-2011,1.7365,1.7349,1.7386,1.7302,0.11%,0.004539064
18-02-2011,1.7444,1.7361,1.7473,1.7255,0.45%,0.00028659
21-02-2011,1.7449,1.7454,1.7486,1.7407,0.03%,0.002232591
22-02-2011,1.7488,1.7441,1.752,1.7336,0.22%,0.004336421
23-02-2011,1.7564,1.7481,1.7606,1.7469,0.43%,0.003580465
24-02-2011,1.7627,1.7554,1.7663,1.7536,0.36%,-0.007345229
25-02-2011,1.7498,1.7615,1.7671,1.7475,-0.73%,0.002967361
28-02-2011,1.755,1.7509,1.7614,1.748,0.30%,-0.000341939
01-03-2011,1.7544,1.7549,1.7604,1.7512,-0.03%,0.003016422
02-03-2011,1.7597,1.7542,1.7641,1.7477,0.30%,0.006288082
03-03-2011,1.7708,1.7596,1.7713,1.7546,0.63%,-0.000169429
04-03-2011,1.7705,1.7703,1.7747,1.7655,-0.02%,-0.001017179
07-03-2011,1.7687,1.7733,1.7748,1.7661,-0.10%,-0.003795286
08-03-2011,1.762,1.7682,1.7721,1.7583,-0.38%,0.000794236
09-03-2011,1.7634,1.7626,1.7664,1.757,0.08%,-0.004490047
10-03-2011,1.7555,1.7632,1.7653,1.7535,-0.45%,0.004660158
11-03-2011,1.7637,1.7557,1.7647,1.751,0.47%,0.005484733
14-03-2011,1.7734,1.7708,1.7752,1.7639,0.55%,0.012050702
15-03-2011,1.7949,1.7724,1.7961,1.7716,1.21%,-0.005867086
16-03-2011,1.7844,1.7926,1.7954,1.7775,-0.58%,0.004026851
17-03-2011,1.7916,1.7839,1.7986,1.7785,0.40%,0.007617708
18-03-2011,1.8053,1.7904,1.8066,1.7825,0.76%,-0.001996119
21-03-2011,1.8017,1.806,1.8073,1.7908,-0.20%,-0.00422716
22-03-2011,1.7941,1.7994,1.8019,1.791,-0.42%,-0.006823293
23-03-2011,1.7819,1.7934,1.7956,1.78,-0.68%,0.00302589
24-03-2011,1.7873,1.782,1.7924,1.7756,0.30%,-0.005554479
25-03-2011,1.7774,1.7857,1.7898,1.7717,-0.55%,0.000843573
28-03-2011,1.7789,1.7722,1.7808,1.7684,0.08%,0.000393424
29-03-2011,1.7796,1.7777,1.7845,1.7735,0.04%,0.001572151
30-03-2011,1.7824,1.7795,1.7849,1.7737,0.16%,0.002129688
31-03-2011,1.7862,1.7825,1.7942,1.7801,0.21%,0.00396704
01-04-2011,1.7933,1.7853,1.7955,1.775,0.40%,-0.000669381
04-04-2011,1.7921,1.7927,1.7978,1.7884,-0.07%,0.000390527
05-04-2011,1.7928,1.7914,1.7962,1.7837,0.04%,0.007280439
06-04-2011,1.8059,1.7914,1.8085,1.7899,0.73%,-0.001496218
07-04-2011,1.8032,1.8055,1.8087,1.7945,-0.15%,0.009438458
08-04-2011,1.8203,1.8022,1.822,1.8009,0.95%,-0.003466971
11-04-2011,1.814,1.817,1.8215,1.8107,-0.35%,0.002697571
12-04-2011,1.8189,1.8128,1.8258,1.8086,0.27%,-0.002477088
13-04-2011,1.8144,1.8186,1.8239,1.8109,-0.25%,-0.00464038
14-04-2011,1.806,1.8135,1.8148,1.7977,-0.46%,-0.006499481
15-04-2011,1.7943,1.8056,1.8097,1.7901,-0.65%,-0.0105329
18-04-2011,1.7755,1.7903,1.7936,1.7692,-1.05%,0.004215265
19-04-2011,1.783,1.7732,1.7857,1.7726,0.42%,0.008210731
20-04-2011,1.7977,1.7807,1.8028,1.7805,0.82%,-0.000111259
21-04-2011,1.7975,1.7983,1.8093,1.7939,-0.01%,5.56313E-05
22-04-2011,1.7976,1.7969,1.8004,1.7929,0.01%,0.002222717
25-04-2011,1.8016,1.7963,1.8052,1.793,0.22%,0.001497546
26-04-2011,1.8043,1.8002,1.8075,1.7928,0.15%,0.007399261
27-04-2011,1.8177,1.804,1.8203,1.8021,0.74%,0.001209589
28-04-2011,1.8199,1.817,1.8268,1.8142,0.12%,-0.004184798
29-04-2011,1.8123,1.8195,1.8237,1.8103,-0.42%,0.000441331
02-05-2011,1.8131,1.8122,1.8219,1.8053,0.04%,0.004512444
03-05-2011,1.8213,1.8117,1.8242,1.8091,0.45%,0.002358168
04-05-2011,1.8256,1.8206,1.8339,1.816,0.24%,-0.011625155
05-05-2011,1.8045,1.8255,1.8348,1.7989,-1.16%,-0.016933928
06-05-2011,1.7742,1.804,1.8055,1.7725,-1.68%,-0.002935202
09-05-2011,1.769,1.7796,1.7829,1.7602,-0.29%,0.003104278
10-05-2011,1.7745,1.7677,1.7761,1.7606,0.31%,-0.010992858
11-05-2011,1.7551,1.7736,1.7766,1.7512,-1.09%,0.005058122
12-05-2011,1.764,1.7555,1.7698,1.7532,0.51%,-0.002952199
13-05-2011,1.7588,1.7634,1.7767,1.7535,-0.29%,0.006969064
16-05-2011,1.7711,1.7551,1.7784,1.7525,0.70%,0.001354173
17-05-2011,1.7735,1.7695,1.7765,1.7638,0.14%,-0.004407783
18-05-2011,1.7657,1.7724,1.7777,1.7629,-0.44%,0.002827736
19-05-2011,1.7707,1.7658,1.7736,1.7601,0.28%,-0.010046343
20-05-2011,1.753,1.7687,1.7732,1.7497,-1.00%,0.001197229
23-05-2011,1.7551,1.749,1.7585,1.7429,0.12%,0.002503842
24-05-2011,1.7595,1.7538,1.7623,1.7492,0.25%,-0.001194234
25-05-2011,1.7574,1.7579,1.7607,1.7507,-0.12%,-0.000227635
26-05-2011,1.757,1.7556,1.7661,1.7525,-0.02%,0.007767139
27-05-2011,1.7707,1.7563,1.7709,1.7544,0.78%,-0.003450913
30-05-2011,1.7646,1.7679,1.7691,1.7587,-0.34%,0.00632699
31-05-2011,1.7758,1.7635,1.7799,1.7624,0.63%,-0.001239646
01-06-2011,1.7736,1.7747,1.7811,1.7685,-0.12%,0.007414931
02-06-2011,1.7868,1.7745,1.7895,1.7725,0.74%,0.007138107
03-06-2011,1.7996,1.7861,1.8001,1.7822,0.72%,-0.003339645
06-06-2011,1.7936,1.7977,1.8031,1.7911,-0.33%,0.004783367
07-06-2011,1.8022,1.793,1.8051,1.7918,0.48%,-0.001999556
08-06-2011,1.7986,1.8023,1.8077,1.7932,-0.20%,-0.007366105
09-06-2011,1.7854,1.7978,1.8041,1.7835,-0.73%,-0.005447768
10-06-2011,1.7757,1.7839,1.7888,1.7699,-0.54%,0.003260995
13-06-2011,1.7815,1.7711,1.7825,1.7701,0.33%,-0.002304084
14-06-2011,1.7774,1.7811,1.7842,1.7746,-0.23%,-0.013252728
15-06-2011,1.754,1.7766,1.7792,1.7525,-1.32%,0.005061286
